$ go build ./... && go vet ./... && gofmt -l . && go test -count=1 ./...   (2026-09-07T12:30:02Z, worktree at 03f7f721, run alone)
load at start: 13:30  up 8 days, 19 hrs, 9 users, load averages: 18.69 22.75 26.21
build/vet/gofmt exit 0

ok  	github.com/generalbusiness-ai/gitseq	0.268s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-github	44.474s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-mcp	160.158s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-perf	1.827s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gs	544.144s
ok  	github.com/generalbusiness-ai/gitseq/host	37.929s
ok  	github.com/generalbusiness-ai/gitseq/host/identity	26.117s
ok  	github.com/generalbusiness-ai/gitseq/host/live	3.677s
ok  	github.com/generalbusiness-ai/gitseq/internal/app	151.582s
ok  	github.com/generalbusiness-ai/gitseq/internal/apphost	0.602s
ok  	github.com/generalbusiness-ai/gitseq/internal/boundary	4.187s
ok  	github.com/generalbusiness-ai/gitseq/internal/ciguard	4.218s
ok  	github.com/generalbusiness-ai/gitseq/internal/connector/github	1.922s
ok  	github.com/generalbusiness-ai/gitseq/internal/custody	4.193s
ok  	github.com/generalbusiness-ai/gitseq/internal/docset	115.295s
ok  	github.com/generalbusiness-ai/gitseq/internal/domain	4.596s
ok  	github.com/generalbusiness-ai/gitseq/internal/gitstore	21.736s
ok  	github.com/generalbusiness-ai/gitseq/internal/intent	1.351s
ok  	github.com/generalbusiness-ai/gitseq/internal/kernel	95.954s
ok  	github.com/generalbusiness-ai/gitseq/internal/mergeplan	19.966s
ok  	github.com/generalbusiness-ai/gitseq/internal/observe	3.597s
ok  	github.com/generalbusiness-ai/gitseq/internal/perflane	3.430s
ok  	github.com/generalbusiness-ai/gitseq/internal/perfscenario	13.536s
ok  	github.com/generalbusiness-ai/gitseq/internal/residentclient	2.674s
ok  	github.com/generalbusiness-ai/gitseq/internal/reviewguard	2.154s
?   	github.com/generalbusiness-ai/gitseq/internal/safetext	[no test files]
ok  	github.com/generalbusiness-ai/gitseq/internal/service	91.351s
ok  	github.com/generalbusiness-ai/gitseq/internal/statusview	4.470s
ok  	github.com/generalbusiness-ai/gitseq/internal/telemetry	2.600s
ok  	github.com/generalbusiness-ai/gitseq/internal/testgit	3.727s
ok  	github.com/generalbusiness-ai/gitseq/internal/wireparity	2.638s
ok  	github.com/generalbusiness-ai/gitseq/internal/workroom	13.119s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-report	2.051s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-spike	6.416s
ok  	github.com/generalbusiness-ai/gitseq/spike/forge	0.977s
ok  	github.com/generalbusiness-ai/gitseq/spike/querysandbox	1.137s
go test exit 0
load at finish: 13:39  up 8 days, 19:09, 9 users, load averages: 51.33 35.77 31.04
