ok  	github.com/generalbusiness-ai/gitseq	1.311s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-github	37.440s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-mcp	113.718s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-perf	11.153s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gs	484.760s
ok  	github.com/generalbusiness-ai/gitseq/host	33.830s
ok  	github.com/generalbusiness-ai/gitseq/host/identity	17.012s
ok  	github.com/generalbusiness-ai/gitseq/host/live	17.547s
ok  	github.com/generalbusiness-ai/gitseq/internal/app	252.509s
ok  	github.com/generalbusiness-ai/gitseq/internal/apphost	5.357s
ok  	github.com/generalbusiness-ai/gitseq/internal/boundary	4.604s
ok  	github.com/generalbusiness-ai/gitseq/internal/ciguard	2.672s
ok  	github.com/generalbusiness-ai/gitseq/internal/connector/github	2.832s
ok  	github.com/generalbusiness-ai/gitseq/internal/custody	3.221s
--- FAIL: TestGateEveryNamedActResolvesToALiveRecord (140.21s)
    anchor_test.go:51: refuse verified frontier rollback: depth 22850 is shorter than previously verified depth 22851
FAIL
FAIL	github.com/generalbusiness-ai/gitseq/internal/docset	185.595s
ok  	github.com/generalbusiness-ai/gitseq/internal/domain	4.044s
ok  	github.com/generalbusiness-ai/gitseq/internal/eventref	5.438s
ok  	github.com/generalbusiness-ai/gitseq/internal/gitstore	16.778s
ok  	github.com/generalbusiness-ai/gitseq/internal/intent	5.208s
ok  	github.com/generalbusiness-ai/gitseq/internal/kernel	76.648s
ok  	github.com/generalbusiness-ai/gitseq/internal/mergeplan	14.385s
ok  	github.com/generalbusiness-ai/gitseq/internal/observe	4.624s
ok  	github.com/generalbusiness-ai/gitseq/internal/perflane	4.102s
ok  	github.com/generalbusiness-ai/gitseq/internal/perfscenario	9.619s
ok  	github.com/generalbusiness-ai/gitseq/internal/residentclient	4.247s
ok  	github.com/generalbusiness-ai/gitseq/internal/reviewguard	4.106s
?   	github.com/generalbusiness-ai/gitseq/internal/safetext	[no test files]
ok  	github.com/generalbusiness-ai/gitseq/internal/service	65.211s
ok  	github.com/generalbusiness-ai/gitseq/internal/statusview	12.968s
ok  	github.com/generalbusiness-ai/gitseq/internal/telemetry	2.930s
ok  	github.com/generalbusiness-ai/gitseq/internal/testgit	2.585s
ok  	github.com/generalbusiness-ai/gitseq/internal/wireparity	2.423s
ok  	github.com/generalbusiness-ai/gitseq/internal/workroom	15.560s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-report	1.425s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-spike	4.040s
ok  	github.com/generalbusiness-ai/gitseq/spike/forge	1.367s
ok  	github.com/generalbusiness-ai/gitseq/spike/querysandbox	5.870s
FAIL
