ok  	github.com/generalbusiness-ai/gitseq	1.432s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-github	4.239s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-mcp	96.938s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-perf	1.972s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gs	405.235s
ok  	github.com/generalbusiness-ai/gitseq/host	33.143s
ok  	github.com/generalbusiness-ai/gitseq/host/identity	14.756s
ok  	github.com/generalbusiness-ai/gitseq/host/live	10.241s
ok  	github.com/generalbusiness-ai/gitseq/internal/app	109.366s
ok  	github.com/generalbusiness-ai/gitseq/internal/apphost	5.462s
ok  	github.com/generalbusiness-ai/gitseq/internal/boundary	2.517s
ok  	github.com/generalbusiness-ai/gitseq/internal/ciguard	3.154s
ok  	github.com/generalbusiness-ai/gitseq/internal/connector/github	5.111s
ok  	github.com/generalbusiness-ai/gitseq/internal/custody	5.275s
ok  	github.com/generalbusiness-ai/gitseq/internal/docset	161.693s
ok  	github.com/generalbusiness-ai/gitseq/internal/domain	5.130s
ok  	github.com/generalbusiness-ai/gitseq/internal/gitstore	10.402s
ok  	github.com/generalbusiness-ai/gitseq/internal/intent	4.907s
ok  	github.com/generalbusiness-ai/gitseq/internal/kernel	76.719s
ok  	github.com/generalbusiness-ai/gitseq/internal/mergeplan	13.298s
ok  	github.com/generalbusiness-ai/gitseq/internal/observe	3.782s
ok  	github.com/generalbusiness-ai/gitseq/internal/perflane	3.958s
ok  	github.com/generalbusiness-ai/gitseq/internal/perfscenario	9.536s
ok  	github.com/generalbusiness-ai/gitseq/internal/residentclient	2.843s
ok  	github.com/generalbusiness-ai/gitseq/internal/reviewguard	2.650s
ok  	github.com/generalbusiness-ai/gitseq/internal/service	33.601s
ok  	github.com/generalbusiness-ai/gitseq/internal/statusview	9.869s
ok  	github.com/generalbusiness-ai/gitseq/internal/telemetry	3.420s
ok  	github.com/generalbusiness-ai/gitseq/internal/testgit	3.449s
ok  	github.com/generalbusiness-ai/gitseq/internal/wireparity	2.649s
ok  	github.com/generalbusiness-ai/gitseq/internal/workroom	21.863s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-report	2.132s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-spike	4.219s
ok  	github.com/generalbusiness-ai/gitseq/spike/forge	1.256s
ok  	github.com/generalbusiness-ai/gitseq/spike/querysandbox	6.377s
