ok  	github.com/generalbusiness-ai/gitseq	0.278s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-github	39.500s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-mcp	155.843s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gitseq-perf	2.701s
ok  	github.com/generalbusiness-ai/gitseq/cmd/gs	519.599s
ok  	github.com/generalbusiness-ai/gitseq/host	35.695s
ok  	github.com/generalbusiness-ai/gitseq/host/identity	20.776s
ok  	github.com/generalbusiness-ai/gitseq/host/live	2.518s
ok  	github.com/generalbusiness-ai/gitseq/internal/app	148.431s
ok  	github.com/generalbusiness-ai/gitseq/internal/apphost	2.120s
ok  	github.com/generalbusiness-ai/gitseq/internal/boundary	1.899s
ok  	github.com/generalbusiness-ai/gitseq/internal/ciguard	3.381s
ok  	github.com/generalbusiness-ai/gitseq/internal/connector/github	3.123s
ok  	github.com/generalbusiness-ai/gitseq/internal/custody	4.058s
ok  	github.com/generalbusiness-ai/gitseq/internal/docset	110.835s
ok  	github.com/generalbusiness-ai/gitseq/internal/domain	4.325s
ok  	github.com/generalbusiness-ai/gitseq/internal/eventref	4.082s
ok  	github.com/generalbusiness-ai/gitseq/internal/gitstore	22.141s
ok  	github.com/generalbusiness-ai/gitseq/internal/intent	4.526s
ok  	github.com/generalbusiness-ai/gitseq/internal/kernel	87.035s
ok  	github.com/generalbusiness-ai/gitseq/internal/mergeplan	17.660s
ok  	github.com/generalbusiness-ai/gitseq/internal/observe	3.043s
ok  	github.com/generalbusiness-ai/gitseq/internal/perflane	3.195s
ok  	github.com/generalbusiness-ai/gitseq/internal/perfscenario	12.105s
ok  	github.com/generalbusiness-ai/gitseq/internal/residentclient	3.270s
ok  	github.com/generalbusiness-ai/gitseq/internal/reviewguard	2.855s
?   	github.com/generalbusiness-ai/gitseq/internal/safetext	[no test files]
ok  	github.com/generalbusiness-ai/gitseq/internal/service	84.195s
ok  	github.com/generalbusiness-ai/gitseq/internal/statusview	4.444s
ok  	github.com/generalbusiness-ai/gitseq/internal/telemetry	3.136s
ok  	github.com/generalbusiness-ai/gitseq/internal/testgit	3.258s
ok  	github.com/generalbusiness-ai/gitseq/internal/wireparity	2.358s
ok  	github.com/generalbusiness-ai/gitseq/internal/workroom	11.507s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-report	1.787s
ok  	github.com/generalbusiness-ai/gitseq/spike/cmd/gitseq-spike	5.685s
ok  	github.com/generalbusiness-ai/gitseq/spike/forge	0.974s
ok  	github.com/generalbusiness-ai/gitseq/spike/querysandbox	1.091s
rc=0
